country,ssp_range,year_range,p0.05,p0.50,p0.95
Haiti,SSP2-4.5,2080-2099,79.92,80.86,82.30
Hungary,SSP2-4.5,1986-2005,50.15,51.04,51.79
Hungary,SSP2-4.5,2020-2039,53.23,53.73,55.33
Hungary,SSP2-4.5,2040-2059,53.99,54.76,56.68
Hungary,SSP2-4.5,2080-2099,54.63,56.08,57.71
Indonesia,SSP2-4.5,1986-2005,78.14,78.34,78.49
Indonesia,SSP2-4.5,2020-2039,79.41,79.63,79.91
Indonesia,SSP2-4.5,2040-2059,79.97,80.25,80.72
Indonesia,SSP2-4.5,2080-2099,80.47,81.23,82.18
Isle of Man,SSP2-4.5,1986-2005,49.18,50.30,50.70
Isle of Man,SSP2-4.5,2020-2039,50.23,51.68,52.74
Isle of Man,SSP2-4.5,2040-2059,51.01,52.03,53.41
Isle of Man,SSP2-4.5,2080-2099,50.54,52.91,54.57
India,SSP2-4.5,1986-2005,73.98,74.19,74.61
India,SSP2-4.5,2020-2039,74.99,75.43,75.87
India,SSP2-4.5,2040-2059,75.81,76.39,76.97
India,SSP2-4.5,2080-2099,76.80,77.62,78.68
British Indian Ocean Territory,SSP2-4.5,1986-2005,79.01,79.12,79.33
British Indian Ocean Territory,SSP2-4.5,2020-2039,80.08,80.28,80.61
British Indian Ocean Territory,SSP2-4.5,2040-2059,80.49,80.88,81.46
British Indian Ocean Territory,SSP2-4.5,2080-2099,80.98,81.78,82.67
Ireland,SSP2-4.5,1986-2005,48.48,49.71,50.23
Ireland,SSP2-4.5,2020-2039,49.47,50.92,51.95
Ireland,SSP2-4.5,2040-2059,50.20,51.26,52.55
Ireland,SSP2-4.5,2080-2099,49.66,52.03,53.79
"Iran, Islamic Republic of",SSP2-4.5,1986-2005,59.69,60.24,60.63
