name,ssp_range,year_range,p0.05,p0.50,p0.95
Ethiopia,SSP2-4.5,2040-2059,73.40,74.29,75.42
Ethiopia,SSP2-4.5,2080-2099,74.34,75.43,77.12
Finland,SSP2-4.5,1986-2005,56.80,58.09,59.27
Finland,SSP2-4.5,2020-2039,59.56,60.46,62.70
Finland,SSP2-4.5,2040-2059,60.29,61.66,64.52
Finland,SSP2-4.5,2080-2099,61.09,62.51,65.93
Fiji,SSP2-4.5,1986-2005,75.67,75.99,76.23
Fiji,SSP2-4.5,2020-2039,76.58,76.98,77.36
Fiji,SSP2-4.5,2040-2059,77.07,77.46,78.02
Fiji,SSP2-4.5,2080-2099,77.65,78.10,79.19
Falkland Islands (Malvinas),SSP2-4.5,1986-2005,38.35,38.55,38.88
Falkland Islands (Malvinas),SSP2-4.5,2020-2039,38.85,39.23,39.69
Falkland Islands (Malvinas),SSP2-4.5,2040-2059,39.29,39.55,40.27
Falkland Islands (Malvinas),SSP2-4.5,2080-2099,39.79,40.34,41.54
France,SSP2-4.5,1986-2005,64.45,64.99,65.91
France,SSP2-4.5,2020-2039,66.70,67.59,68.72
France,SSP2-4.5,2040-2059,67.72,68.92,70.48
France,SSP2-4.5,2080-2099,68.42,70.49,72.89
Faroe Islands,SSP2-4.5,1986-2005,47.88,49.56,50.53
Faroe Islands,SSP2-4.5,2020-2039,49.36,51.22,53.04
Faroe Islands,SSP2-4.5,2040-2059,49.77,51.77,53.42
Faroe Islands,SSP2-4.5,2080-2099,48.84,52.01,55.37
"Micronesia, Federated States of",SSP2-4.5,1986-2005,79.95,80.22,80.41
"Micronesia, Federated States of",SSP2-4.5,2020-2039,81.09,81.34,81.96
"Micronesia, Federated States of",SSP2-4.5,2040-2059,81.66,81.91,82.85
"Micronesia, Federated States of",SSP2-4.5,2080-2099,82.14,82.79,83.81
Gabon,SSP2-4.5,1986-2005,74.76,75.06,75.20
Gabon,SSP2-4.5,2020-2039,76.11,76.40,76.84
Gabon,SSP2-4.5,2040-2059,76.82,77.14,77.71
Gabon,SSP2-4.5,2080-2099,77.48,78.22,79.10
United Kingdom,SSP2-4.5,1986-2005,57.47,58.16,58.51
United Kingdom,SSP2-4.5,2020-2039,58.36,59.94,61.19
United Kingdom,SSP2-4.5,2040-2059,59.42,60.36,62.40
United Kingdom,SSP2-4.5,2080-2099,59.29,61.44,63.78
Georgia,SSP2-4.5,1986-2005,65.30,65.81,66.20
Georgia,SSP2-4.5,2020-2039,67.51,68.86,70.96
Georgia,SSP2-4.5,2040-2059,68.74,70.20,72.31
Georgia,SSP2-4.5,2080-2099,70.14,72.17,75.69
Guernsey,SSP2-4.5,1986-2005,58.45,59.28,59.79
Guernsey,SSP2-4.5,2020-2039,59.77,61.26,62.79
Guernsey,SSP2-4.5,2040-2059,60.77,61.91,64.05
Guernsey,SSP2-4.5,2080-2099,60.70,62.77,65.23
Ghana,SSP2-4.5,1986-2005,77.99,78.22,78.43
Ghana,SSP2-4.5,2020-2039,79.15,79.44,79.92
Ghana,SSP2-4.5,2040-2059,79.81,80.25,80.86
Ghana,SSP2-4.5,2080-2099,80.47,81.34,82.38
Gibraltar,SSP2-4.5,1986-2005,70.24,71.11,71.70
Gibraltar,SSP2-4.5,2020-2039,72.21,73.34,74.66
Gibraltar,SSP2-4.5,2040-2059,73.28,74.29,75.55
Gibraltar,SSP2-4.5,2080-2099,74.24,75.75,77.46
Guinea,SSP2-4.5,1986-2005,76.44,76.68,76.79
Guinea,SSP2-4.5,2020-2039,77.65,78.00,78.55
Guinea,SSP2-4.5,2040-2059,78.26,78.74,79.38
Guinea,SSP2-4.5,2080-2099,79.02,79.89,80.87
Guadeloupe,SSP2-4.5,1986-2005,79.41,79.92,80.14
Guadeloupe,SSP2-4.5,2020-2039,80.88,81.30,81.67
Guadeloupe,SSP2-4.5,2040-2059,81.23,81.77,82.29
Guadeloupe,SSP2-4.5,2080-2099,81.80,82.49,83.82
Gambia,SSP2-4.5,1986-2005,82.89,83.17,83.37
Gambia,SSP2-4.5,2020-2039,84.10,84.50,84.88
Gambia,SSP2-4.5,2040-2059,84.56,85.15,85.78
Gambia,SSP2-4.5,2080-2099,85.33,86.22,87.38
Guinea-Bissau,SSP2-4.5,1986-2005,80.95,81.22,81.37
Guinea-Bissau,SSP2-4.5,2020-2039,82.17,82.50,82.89
Guinea-Bissau,SSP2-4.5,2040-2059,82.62,83.12,83.79
Guinea-Bissau,SSP2-4.5,2080-2099,83.48,84.42,85.25
Equatorial Guinea,SSP2-4.5,1986-2005,74.25,74.47,74.59
Equatorial Guinea,SSP2-4.5,2020-2039,75.63,75.73,76.22
Equatorial Guinea,SSP2-4.5,2040-2059,76.14,76.51,77.08
Equatorial Guinea,SSP2-4.5,2080-2099,76.68,77.45,78.29
Greece,SSP2-4.5,1986-2005,73.95,74.54,74.92
Greece,SSP2-4.5,2020-2039,76.85,77.60,78.53
Greece,SSP2-4.5,2040-2059,77.23,78.56,79.93
Greece,SSP2-4.5,2080-2099,78.45,80.18,82.67
Grenada,SSP2-4.5,1986-2005,79.54,79.83,80.10
Grenada,SSP2-4.5,2020-2039,80.79,81.16,81.63
Grenada,SSP2-4.5,2040-2059,81.38,81.68,82.40
Grenada,SSP2-4.5,2080-2099,81.85,82.58,83.68
Greenland,SSP2-4.5,1986-2005,33.52,36.41,36.86
Greenland,SSP2-4.5,2020-2039,37.15,38.21,39.83
Greenland,SSP2-4.5,2040-2059,37.29,38.67,41.07
Greenland,SSP2-4.5,2080-2099,37.96,39.99,43.69
Guatemala,SSP2-4.5,1986-2005,72.21,72.50,72.86
Guatemala,SSP2-4.5,2020-2039,73.58,74.30,74.85
Guatemala,SSP2-4.5,2040-2059,73.82,75.20,76.06
Guatemala,SSP2-4.5,2080-2099,74.68,76.42,78.05
French Guiana,SSP2-4.5,1986-2005,78.84,79.31,79.60
French Guiana,SSP2-4.5,2020-2039,80.39,80.71,81.19
French Guiana,SSP2-4.5,2040-2059,81.04,81.44,82.46
French Guiana,SSP2-4.5,2080-2099,81.49,82.50,84.12
Guam,SSP2-4.5,1986-2005,80.53,80.76,81.01
Guam,SSP2-4.5,2020-2039,81.59,81.93,82.51
Guam,SSP2-4.5,2040-2059,82.20,82.57,83.35
Guam,SSP2-4.5,2080-2099,82.67,83.35,84.33
Guyana,SSP2-4.5,1986-2005,77.95,78.33,78.54
Guyana,SSP2-4.5,2020-2039,79.47,79.81,80.32
