name,ssp_range,year_range,p0.05,p0.50,p0.95
Croatia,SSP2-4.5,1986-2005,36.39,37.26,38.50
Croatia,SSP2-4.5,2020-2039,38.99,40.20,42.68
Croatia,SSP2-4.5,2040-2059,39.88,41.08,43.26
Croatia,SSP2-4.5,2080-2099,40.36,42.12,44.12
Haiti,SSP2-4.5,1986-2005,74.91,75.18,75.50
Haiti,SSP2-4.5,2020-2039,76.21,76.63,77.10
Haiti,SSP2-4.5,2040-2059,76.57,77.22,78.11
Haiti,SSP2-4.5,2080-2099,77.22,78.09,79.55
Hungary,SSP2-4.5,1986-2005,30.71,32.11,33.07
Hungary,SSP2-4.5,2020-2039,33.76,35.12,38.43
Hungary,SSP2-4.5,2040-2059,34.66,36.30,39.06
Hungary,SSP2-4.5,2080-2099,35.48,37.56,39.86
Indonesia,SSP2-4.5,1986-2005,78.02,78.17,78.27
Indonesia,SSP2-4.5,2020-2039,79.20,79.42,79.72
Indonesia,SSP2-4.5,2040-2059,79.78,80.02,80.54
Indonesia,SSP2-4.5,2080-2099,80.25,80.98,81.85
Isle of Man,SSP2-4.5,1986-2005,43.33,44.49,45.08
Isle of Man,SSP2-4.5,2020-2039,44.10,45.77,46.72
Isle of Man,SSP2-4.5,2040-2059,45.02,46.19,47.15
Isle of Man,SSP2-4.5,2080-2099,44.48,46.63,48.30
India,SSP2-4.5,1986-2005,63.69,64.24,64.79
India,SSP2-4.5,2020-2039,64.73,65.47,66.08
India,SSP2-4.5,2040-2059,65.87,66.64,67.28
India,SSP2-4.5,2080-2099,67.13,67.95,69.71
British Indian Ocean Territory,SSP2-4.5,1986-2005,79.20,79.37,79.56
British Indian Ocean Territory,SSP2-4.5,2020-2039,80.28,80.58,80.84
British Indian Ocean Territory,SSP2-4.5,2040-2059,80.76,81.24,81.71
British Indian Ocean Territory,SSP2-4.5,2080-2099,81.40,82.07,82.86
Ireland,SSP2-4.5,1986-2005,40.98,42.35,43.00
Ireland,SSP2-4.5,2020-2039,41.78,43.48,44.38
Ireland,SSP2-4.5,2040-2059,42.70,43.71,44.62
Ireland,SSP2-4.5,2080-2099,42.09,44.23,45.76
"Iran, Islamic Republic of",SSP2-4.5,1986-2005,38.83,39.82,40.54
