Field Name,Country,Country_iso3,Region,Latitude,Longitude,Location,gwp,ch4_gwp_potential,Upstream Methane Emission Rate (NGSI Standard %),Upstream Methane Intensity (kgCH4/boe),Midstream Methane Intensity (kgCH4/boe),Downstream Methane Intensity (kgCH4/boe),Upstream Carbon Dioxide Intensity (kgCO2/boe),Midstream Carbon Dioxide Intensity (kgCO2/boe),Downstream Carbon Dioxide Intensity (kgCO2/boe),Total Emissions Intensity (kgCO2eq/boe),Total Carbon Dioxide Intensity (kgCO2/boe),Industry GHG Responsibility (kgCO2eq/boe),Consumer GHG Responsibility (kgCO2eq/boe),Sulfur Content Weight Percent,API Category,Enhanced recovery,Fracked,Dry Gas,Flaring-to-Oil Ratio (scf flared/bbl),Energy Output of Oil and Gas Produced (MJ/d),Energy Output of Petroleum Products (MJ/d),Breakeven Oil Price (usd/bbl),Breakeven Gas Price (usd/kcf),Flare Rate,Oil or Gas or Condensate,Resource Type,Sour or Sweet
McKittrick,United States,USA,North America,35.7676,-119.6919,Onshore,20,82.5,0.0,0.71863,0.00782,0.02096,172.67328,37.07774,428.95184,706.34164,649.76345,272.18718,434.15447,0.34469,Light,1,False,0,64.3,3419958.46985,3607167.45431,55.9,0.0,High Flare,Oil,Light Oil,Sweet Oil
McKittrick,United States,USA,North America,35.7676,-119.6919,Onshore,100,29.8,0.0,0.71863,0.00764,0.02091,172.67328,36.7854,428.99364,667.60465,649.51291,233.58735,434.0173,0.34469,Light,1,False,0,64.3,3419958.46985,3607167.45431,55.9,0.0,High Flare,Oil,Light Oil,Sweet Oil
Meji,Nigeria,NGA,West Africa,5.51707,5.09811,Offshore,20,82.5,1.20072,1.26643,0.00337,0.22566,30.66857,29.76474,366.32821,599.5169,469.60884,210.61775,388.89916,0.11163,Regular,0,False,0,458.76856,382661360.71118,211832340.26821,43.29718,0.0,High Flare,Oil,Medium Oil,Sweet Oil
Meji,Nigeria,NGA,West Africa,5.51707,5.09811,Offshore,100,29.8,1.20072,1.26643,0.0033,0.22563,30.66857,29.57679,366.36517,515.50075,469.45785,137.8001,377.70066,0.11163,Regular,0,False,0,458.76856,382661360.71118,211832340.26821,43.29718,0.0,High Flare,Oil,Medium Oil,Sweet Oil
Messla,Libya,LBY,North Africa,28.0852,21.9362,Onshore,20,82.5,0.0,1.62456,0.00802,0.02159,52.63715,37.50192,446.9508,682.34575,550.05064,229.59632,452.74943,0.14274,Regular,1,False,0,453.63005,420282853.58218,451998735.55818,23.6,0.0,High Flare,Oil,Light Oil,Sweet Oil
Messla,Libya,LBY,North Africa,28.0852,21.9362,Onshore,100,29.8,0.0,1.62456,0.00784,0.02154,52.63715,37.23377,446.99336,595.87547,549.82504,143.25515,452.62033,0.14274,Regular,1,False,0,453.63005,420282853.58218,451998735.55818,23.6,0.0,High Flare,Oil,Light Oil,Sweet Oil
Messoyakhskoye,Russian Federation,RUS,Russia,68.6044,80.1164,Onshore,20,82.5,0.0,1.36707,0.00827,0.02078,38.96799,46.09854,410.07827,622.3129,514.99007,208.00669,414.30621,0.22952,Regular,1,False,0,272.89675,661572358.25456,661106957.83006,22.0,0.0,High Flare,Oil,Medium Oil,Sweet Oil
Messoyakhskoye,Russian Federation,RUS,Russia,68.6044,80.1164,Onshore,100,29.8,0.0,1.36707,0.00808,0.02072,38.96799,45.76469,410.12285,549.34098,514.7008,135.20599,414.13499,0.22952,Regular,1,False,0,272.89675,661572358.25456,661106957.83006,22.0,0.0,High Flare,Oil,Medium Oil,Sweet Oil
Mexilhao,Brazil,BRA,South America,-24.4878,-44.15039999999999,Offshore,20,82.5,0.87391,0.69509,0.0,0.24487,12.89294,10.83853,344.35222,533.34828,436.87266,167.67063,365.67766,0.0884,Light,0,False,0,25.5,326553840.97086,159074101.21419,0.0,4.6,Medium Flare,Gas,Wet gas,Sweet Gas
Mexilhao,Brazil,BRA,South America,-24.4878,-44.15039999999999,Offshore,100,29.8,0.87391,0.69509,0.0,0.24487,12.89294,10.60271,344.35511,472.70023,436.63974,119.33845,353.36178,0.0884,Light,0,False,0,25.5,326553840.97086,159074101.21419,0.0,4.6,Medium Flare,Gas,Wet gas,Sweet Gas
Midway-Sunset,United States,USA,North America,35.1222,-119.4357,Onshore,20,82.5,0.0,0.64149,0.00504,0.0342,216.41466,66.5043,433.31519,791.00045,728.04108,337.09817,453.90229,1.608,Extra Heavy Oil,1,False,0,64.3,250064397.3976,232130177.6715,49.2,0.0,High Flare,Oil,Extra-Heavy Oil,Sour Oil
Midway-Sunset,United States,USA,North America,35.1222,-119.4357,Onshore,100,29.8,0.0,0.64149,0.00493,0.03416,216.41466,66.25179,433.42193,756.5194,727.89532,302.73783,453.78157,1.608,Extra Heavy Oil,1,False,0,64.3,250064397.3976,232130177.6715,49.2,0.0,High Flare,Oil,Extra-Heavy Oil,Sour Oil
Minami,Japan,JPN,East Asia,37.412,138.7743,Onshore,20,82.5,1.14189,0.5916,0.0,0.47013,8.63734,0.0,290.56711,450.42912,327.95443,120.92142,329.50771,0.06448,Light,0,False,1,0.0,103620690.1487,755338.17076,0.0,1.8,No Flare Info,Gas,Dry Gas,Sweet Gas
Minami,Japan,JPN,East Asia,37.412,138.7743,Onshore,100,29.8,1.14189,0.5916,0.0,0.47013,8.63734,0.0,290.56711,372.36427,327.95443,67.34283,305.02143,0.06448,Light,0,False,1,0.0,103620690.1487,755338.17076,0.0,1.8,No Flare Info,Gas,Dry Gas,Sweet Gas
Mipaya-Pagoreni,Peru,PER,South America,-11.6958,-72.9165,Onshore,20,82.5,0.93866,0.72192,0.0,0.3523,13.22494,4.92161,309.6696,505.85405,397.5623,166.61994,339.23411,0.02524,Light,0,False,0,54.22782,392339356.70444,92530585.41469,0.0,2.1,Medium Flare,Gas,Wet gas,Sweet Gas
Mipaya-Pagoreni,Peru,PER,South America,-11.6958,-72.9165,Onshore,100,29.8,0.93866,0.72192,0.0,0.3523,13.22494,4.79335,309.67036,437.2776,397.43481,116.17746,321.10014,0.02524,Light,0,False,0,54.22782,392339356.70444,92530585.41469,0.0,2.1,Medium Flare,Gas,Wet gas,Sweet Gas
Mizton,Mexico,MEX,North America,18.3952,-93.7949,Offshore,20,82.5,0.0,1.4067,0.00458,0.0217,31.82957,59.37653,379.58944,597.80872,483.87597,207.20493,390.60379,1.54685,Regular,1,False,0,290.87472,76269389.94195,71211315.77114,19.4,0.0,High Flare,Oil,Medium Oil,Sour Oil
